Reward,Qmax
-1.1106956509724633,0.004882799665064518
-1.298859039665853,0.007268030762709864
-1.4488027549555054,0.007008182544766659
-1.5686556008153592,0.0069835405403645195
-0.2946865565407955,0.008128519151266196
-4.638307857647788,0.009117069616726595
-1.845173564302038,0.009375031064053876
-1.8740573562113252,0.009148594670596734
-1.0848707052173736,0.008719785642066043
-4.6331948605024085,0.008609609690087673
-2.8891136080175364,0.00881681767708842
-4.004274354646795,0.008237776423724901
-3.258188685482811,0.007852271918778369
-3.7908499122429262,0.007403885309195998
-2.9820595530114193,0.007205496680216124
-2.9484300486223494,0.006889544747975753
-0.48769857103785624,0.006676920146760928
-4.341061009581758,0.0063298946590485735
-0.723788897407841,0.006146662021477019
-0.1645339899499892,0.006149482829075063
